60	61
60	60
60	60
63	63
65	65
65	65
66	66
65	65
63	63
65	65
60	60
65	65
60	60
61.5	61.5
60	60
62	62
60.8	60.8
60	60
61.8	61.8
63.3	63.3
60	60
63.8	63.8
62	62
65.8	65.8
61	61
67	67
71.6	71.6
70.88	70.88
68.2	68.2
66.8	66.8
62.1	62.1
65.12	65.12
67.8	67.8
69.5	69.5
71.2	71.2
74.6	74.6
77	77
74.7	74.7
73	73
70.02	70.02
63.02	63.02
65.18	65.18
61.18	61.18
63.5	63.5
60	68.6
60	68.5
62.5	62.5
63.5	63.5
65.16	65.16
66.82	66.82
60.18	64.9
60	62.3
60.2	64.68
63	63
63.51	63.51
65.35	65.35
67.52	67.52
68.66	68.66
71	71
64	72
61.2	64.43
58	68.65
58	60
58	65.2
58	67.73
60.91	60.91
54.82	60.05
54	60
50	60
45.55	55
41.85	51.1
46	50.6
46	46
41.5	45
42	45.3
42	45.2
39.73	48.55
53.41	53.41
58.75	58.75
64.63	64.63
58.17	71.09
52.35	63.99
57.59	70.39
60	60
54	54
48.6	52
50.8	52.8
49.5	51.2
48.5	51.6
49.5	52.3
50	52
51.7	53
50	53.5
48.5	48.5
43.65	43.65
43	43
38.7	38.7
34.83	34.83
31.35	31.35
28.5	29
25.8	27
26	27.1
23.99	26.61
26.9	26.9
26.1	26.1
23.5	25
23.8	23.8
26	26
26	26
26	26
26	26
26	26
26	26
23.6	23.6
23.8	25.96
23.9	23.9
22.6	22.6
22.8	22.8
21	21
21	23
20.5	23.5
22.6	22.6
24.1	24.5
24.2	26.5
27.8	27.8
29.8	29.8
31.6	31.6
28.5	28.5
25.8	31.2
25.38	31
32.6	32.6
29.36	29.36
27.47	32.3
32.5	32.6
29.36	29.36
26.42	26.46
23.8	23.8
21.46	21.46
20.6	20.6
20.66	21.6
20.66	20.66
20.68	20.68
20.69	21
20.8	20.98
20.8	20.8
20.8	20.8
20.8	20.8
20.88	20.88
20.88	20.88
20.98	20.98
20.98	20.98
20.99	21.6
20.88	21.6
20.98	20.98
20.5	20.98
20.6	21.1
20.2	20.2
20.98	22.2
23.3	23.31
20.98	25.6
22.17	27
23.58	28.82
29.49	31.7
32.54	32.54
29.89	29.89
26.9	32.88
25.34	30.98
27.9	34.08
31.01	31.01
34.11	34.11
30.7	30.7
27.63	27.63
24.87	24.87
22.38	22.38
20.14	20.7
18.13	22.1
17.15	20.97
18.87	22.89
18.19	18.19
16.37	20.01
17.84	21.8
19.62	23.98
21.65	23.82
21.44	26.2
26.02	26.02
23.42	23.5
25	25.81
28.39	28.39
26	30
32.98	32.98
29.68	29.68
26.8	26.8
24.2	24.2
21.8	26.62
20.34	24.8
21.17	21.17
19.05	23
17.15	20.97
18.87	23.07
17.19	21.01
16	19.03
16.4	17
18.22	18.22
16.5	16.5
17.5	18
18	18
19	19.8
17.82	21.78
17	19.8
16.99	16.99
16.97	17.99
16.08	17.48
16.7	18.8
17	19
16.6	19.21
16.35	16.35
14.72	14.72
13.25	15
13.42	16.4
14	14
12.6	15.3
16	16
15.5	15.5
14.4	17
15.5	15.75
14.5	15.5
16	16
15	15
15.99	15.99
14.4	15.19
15.39	16.7
15.2	17.07
15.5	15.55
15.8	15.88
15	16
16	16.5
16.42	16.48
16.45	16.45
14.81	14.81
14.5	16.29
15.2	15.2
16.3	16.3
16.44	16.48
16.5	16.5
16.48	16.49
16	16.48
16.5	16.5
16.5	16.5
16.48	16.5
14.85	16.47
15.5	16.46
16.39	17.06
16.35	18.05
16.43	19.2
16.5	20
14.96	16.5
17.69	17.69
19.4	19.4
18	18
16.2	16.2
15.5	16.49
15.6	17.08
16.7	18.63
15.25	18.6
16.68	20.36
16.43	19.63
18	18
16.2	16.2
15.5	15.5
14	16.07
16.5	16.5
15.98	15.98
15.5	15.5
15	15.5
15	15
15	15
15	15.2
14.9	15
15.5	15.5
14.99	15
14.95	15
14.9	15
13.48	16.48
14.9	15
16.46	16.46
14.99	16
15	15
15	15
13.5	16.5
14.5	16.82
14	15.1
14.95	14.95
14.99	15
15.3	15.3
15	15
15	15
15	15
15.3	15.3
15	15
15.2	15.2
14	14
15.1	15.1
14.99	15.5
14.99	16
16.2	16.2
16.9	16.9
17.4	17.4
17.99	19.14
17	18.45
18.45	18.45
16.8	16.8
15.12	18
15	17.5
14.6	17.7
13.8	16.73
16.5	16.5
16	18.1
14.75	14.75
13.3	16.23
14.36	14.36
13.3	13.3
14.2	14.51
15.2	15.2
13.97	15.1
13.99	16
16	17.26
14.41	16.8
14.58	16.4
14.76	17.5
14.23	14.23
12.81	14.5
12.99	12.99
12.49	14.29
12.2	14.5
12.81	15.58
12.13	12.5
13.49	13.49
14.75	14.75
16.2	16.2
14.58	14.58
13.12	15.9
12.53	15
11.79	14.34
10.69	12.98
10.41	12.73
11.05	13.45
10.88	13.3
11	11.19
11.79	11.99
10.7	13.05
11.66	14.25
15.5	15.5
13.95	16.2
16.2	16.2
14.58	14.58
14.3	16
15.6	15.6
14.04	16.2
14.41	15
13.5	15.7
14.09	14.5
15.5	15.5
16.2	16.2
14.58	14.58
13.12	16.04
13.19	13.19
11.87	11.87
10.68	13.05
9.67	11.81
10.88	12.69
11.01	13.28
11.68	14.25
11.7	14.3
11.57	14.15
11.43	13.97
11.13	13.61
11.41	13
10.57	12.91
10.32	12.62
9.9	11.38
9.32	9.32
8.39	10.25
8.49	10.37
7.76	9.1
8.3	9.45
8.1	8.1
7.29	8.3
9	9.1
8.18	10
10.77	10.77
10.1	10.1
10.5	10.5
9.45	10.55
10.5	10.5
11.1	11.55
11.5	11.5
11.5	11.5
10.35	11.5
9.9	9.95
9	9
8.1	8.25
8.15	9
9.68	9.68
10.65	10.65
11.4	11.4
11.4	11.4
10.3	11.3
9.8	11.6
11.88	11.88
10.7	11.15
9.85	12
12.85	12.88
13.1	13.1
14.3	14.3
13.4	15.2
13.68	14.5
13.01	15
12.65	15.2
15.5	15.5
13.95	15.6
14.02	17.1
13.95	15.5
13.94	13.94
12.55	15.3
12.8	15.5
13.54	13.54
12.19	14.7
11.29	13.79
10.19	12.4
10.84	11.45
10.28	11.5
10.31	10.31
9.8	9.8
9	10.7
10.3	10.35
11.3	11.3
10.17	10.18
11	11
11.3	12.1
10.17	12.43
10.95	11.7
10.53	10.53
9.8	10.8
10.5	11.5
10.75	11.7
10.49	11
11.7	11.7
10.53	10.53
9.8	9.8
10.58	10.78
11.5	11.5
10.35	12.5
13.2	13.2
11.88	13.5
11.2	11.2
10.3	12.3
10.2	12.45
11.9	11.9
10.71	13
10.2	10.6
10.2	10.89
9.8	10.99
10.05	11.14
10.1	11
10.4	11.68
11	11.97
10.7	12.3
12.42	12.46
12.45	13.7
12.3	13.8
15	15
13.5	16.5
12.6	15
12.5	13.78
11.5	13.78
10.5	12.72
12.3	12.3
11.2	11.2
10.88	10.88
11.02	11.9
11	12.44
11	13
10.85	13.26
11	13.27
11.3	13.68
11.4	13.52
13.74	13.74
14.6	15.11
13.15	15.94
12.3	14.67
13	15.1
13.7	15.5
14.9	16.4
15.8	17.52
15.2	18
15.5	18.25
16	19.48
17.5	19.45
17.5	20.08
17.5	19.4
17.5	19.98
16.3	18.45
17.5	18.12
16.8	19.5
16.5	18.88
16.58	18
16.59	17.98
17	17.85
18	18
16.2	16.8
14.67	16.4
13.77	15
12.75	13.48
12.7	14
13.35	14.67
13.88	14.95
15	15.4
15	16.75
14.51	15.2
14.9	15
14.5	15.79
14	15.99
14.81	15
14.7	15
14.7	14.7
14.6	15
15	15.3
15.29	15.49
15.06	15.6
15	15.05
14.9	15.38
14.99	16.6
13.5	16.45
13.62	15.68
13.2	16.1
14.81	15.8
13.43	15.99
14.9	14.98
15.1	15.8
14.81	15.59
14.91	16.04
14.01	16.87
15.02	15.84
15.2	16.38
15.2	16.5
15.1	17
15.06	16.79
15.2	15.69
15.23	15.78
15	15.86
15.1	15.36
15	15.95
15	16.48
15.05	15.3
15	15.3
14.98	15.79
14.98	17.06
14.8	16.7
14.8	16.38
14.5	15
14.4	14.5
14	14.3
14.2	15.45
14	14.99
